"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","WESD"
"USS0010E03S","CANYON, WY US","2025-02-02","0.60","26","30","23","26","7.5"
"USS0010E03S","CANYON, WY US","2025-02-03","0.50","27","30","24","27","7.9"
"USS0010E03S","CANYON, WY US","2025-02-04","0.00","31","39","26","28","7.9"
"USS0010E03S","CANYON, WY US","2025-02-05","0.00","21","35","1","2","7.9"
"USS0010E03S","CANYON, WY US","2025-02-06","0.10","14","22","2","15","8.0"
"USS0010E03S","CANYON, WY US","2025-02-07","0.50","17","29","1","4","8.5"
"USS0010E03S","CANYON, WY US","2025-02-08","0.10","7","13","1","2","8.5"
"USS0010E03S","CANYON, WY US","2025-02-09","0.00","5","13","-8","-7","8.5"
"USS0010E03S","CANYON, WY US","2025-02-10","0.00","1","11","-10","-10","8.5"
"USS0010E03S","CANYON, WY US","2025-02-11","0.00","-6","6","-21","-21","8.5"
"USS0010E03S","CANYON, WY US","2025-02-12","0.00","-12","2","-28","-16","8.5"
"USS0010E03S","CANYON, WY US","2025-02-13","0.30","-1","15","-26","13","8.8"
"USS0010E03S","CANYON, WY US","2025-02-14","0.20","21","28","13","21","9.1"
"USS0010E03S","CANYON, WY US","2025-02-15","0.10","16","22","12","12","9.1"
"USS0010E03S","CANYON, WY US","2025-02-16","0.30","17","22","12","19","9.4"
"USS0010E03S","CANYON, WY US","2025-02-17","0.10","22","26","18","19","9.6"
"USS0010E03S","CANYON, WY US","2025-02-18","0.20","16","22","9","9","9.7"
"USS0010E03S","CANYON, WY US","2025-02-19","0.10","17","23","8","20","9.9"
"USS0010E03S","CANYON, WY US","2025-02-20","0.00","23","28","20","20","9.9"
"USS0010E03S","CANYON, WY US","2025-02-21","0.00","19","26","12","17","9.9"
"USS0010E03S","CANYON, WY US","2025-02-22","0.00","18","26","9","10","9.9"
"USS0010E03S","CANYON, WY US","2025-02-23","0.30","22","30","7","30","10.2"
"USS0010E03S","CANYON, WY US","2025-02-24","0.10","31","35","26","30","10.2"
"USS0010E03S","CANYON, WY US","2025-02-25","0.00","25","33","20","20","10.2"
"USS0010E03S","CANYON, WY US","2025-02-26","0.00","21","29","5","5","10.2"
"USS0010E03S","CANYON, WY US","2025-02-27","0.10","17","41","-2","9","10.2"
"USS0010E03S","CANYON, WY US","2025-02-28","0.00","21","43","-1","15","10.2"
"USS0010E03S","CANYON, WY US","2025-03-01","0.00","24","47","2","12","10.2"
"USS0010E03S","CANYON, WY US","2025-03-02","0.00","24","48","1","22","10.2"
"USS0010E03S","CANYON, WY US","2025-03-03","0.00","26","40","18","22","10.2"
"USS0010E03S","CANYON, WY US","2025-03-04","0.00","25","33","17","23","10.2"
"USS0010E03S","CANYON, WY US","2025-03-05","0.00","26","33","21","24","10.2"
"USS0010E03S","CANYON, WY US","2025-03-06","0.00","19","24","7","8","10.2"
"USS0010E03S","CANYON, WY US","2025-03-07","0.00","15","32","-1","8","10.2"
"USS0010E03S","CANYON, WY US","2025-03-08","0.00","22","38","8","19","10.2"
"USS0010E03S","CANYON, WY US","2025-03-09","0.00","27","40","19","23","10.2"
"USS0010E03S","CANYON, WY US","2025-03-10","0.00","26","38","15","17","10.2"
"USS0010E03S","CANYON, WY US","2025-03-11","0.00","26","40","15","18","10.2"
