date,station,tmin,tmax,tavg,prcp,wesd
1996-01-23,USS0010E03S,-231.0,-115,-165,0,3327
1996-01-24,USS0010E03S,-177.0,-77,-128,51,3378
1996-01-25,USS0010E03S,-246.0,-85,-178,25,3378
1996-01-26,USS0010E03S,-265.0,-120,-185,0,3404
1996-01-27,USS0010E03S,-191.0,-88,-129,76,3505
1996-01-28,USS0010E03S,-139.0,-66,-114,152,3632
1996-01-29,USS0010E03S,-217.0,-87,-129,25,3658
1996-01-30,USS0010E03S,-340.0,-125,-231,25,3658
1996-01-31,USS0010E03S,-365.0,-135,-275,25,3658
1996-02-01,USS0010E03S,-369.0,-169,-291,0,3658
1996-02-02,USS0010E03S,-395.0,-162,-298,0,3658
1996-02-03,USS0010E03S,-369.0,-121,-263,0,3658
1996-02-04,USS0010E03S,-290.0,-75,-150,25,3658
1996-02-05,USS0010E03S,-76.0,-7,-40,0,3759
1996-02-06,USS0010E03S,-28.0,-15,-23,178,3937
1996-02-07,USS0010E03S,-21.0,2,-14,102,4039
1996-02-08,USS0010E03S,-29.0,28,-8,0,4089
1996-02-09,USS0010E03S,-114.0,41,-15,0,4089
1996-02-10,USS0010E03S,-210.0,-17,-119,25,4115
1996-02-11,USS0010E03S,-262.0,5,-140,0,4115
1996-02-12,USS0010E03S,-219.0,47,-94,0,4115
1996-02-13,USS0010E03S,-124.0,57,-39,0,4115
1996-02-14,USS0010E03S,-119.0,40,-40,0,4115
1996-02-15,USS0010E03S,-168.0,34,-81,0,4115
1996-02-16,USS0010E03S,-178.0,60,-74,0,4115
1996-02-17,USS0010E03S,-142.0,18,-59,0,4115
1996-02-18,USS0010E03S,-33.0,19,-16,51,4140
1996-02-19,USS0010E03S,-113.0,-3,-36,51,4216
1996-02-20,USS0010E03S,-129.0,6,-55,0,4216
1996-02-21,USS0010E03S,-96.0,21,-38,0,4242
1996-02-22,USS0010E03S,-176.0,-37,-81,51,4267
1996-02-23,USS0010E03S,-152.0,-76,-104,0,4293
1996-02-24,USS0010E03S,-101.0,-25,-71,102,4369
1996-02-25,USS0010E03S,-199.0,-67,-124,25,4394
1996-02-26,USS0010E03S,-241.0,-153,-199,0,4445
1996-02-27,USS0010E03S,-317.0,-126,-233,0,4445
1996-02-28,USS0010E03S,-355.0,-91,-231,0,4445
1996-02-29,USS0010E03S,-314.0,-66,-175,0,4445
1996-03-01,USS0010E03S,-144.0,-43,-96,127,4445
1996-03-02,USS0010E03S,-109.0,-6,-67,25,4445
1996-03-03,USS0010E03S,-87.0,-30,-53,25,4572
1996-03-04,USS0010E03S,-44.0,11,-28,152,4826
1996-03-05,USS0010E03S,-209.0,-35,-106,51,4953
1996-03-06,USS0010E03S,-209.0,-44,-118,25,4978
1996-03-07,USS0010E03S,-92.0,-14,-58,0,4978
1996-03-08,USS0010E03S,-71.0,17,-33,203,4978
1996-03-09,USS0010E03S,-76.0,60,-10,0,4978
1996-03-10,USS0010E03S,-96.0,71,-21,0,4978
1996-03-11,USS0010E03S,-41.0,52,-5,25,5029
1996-03-12,USS0010E03S,-56.0,61,-18,25,5029
1996-03-13,USS0010E03S,-122.0,44,-36,0,5029
1996-03-14,USS0010E03S,-129.0,65,-41,0,5055
1996-03-15,USS0010E03S,-130.0,51,-51,25,5055
1996-03-16,USS0010E03S,-84.0,-5,-46,0,5080
1996-03-17,USS0010E03S,-127.0,-15,-62,25,5080
1996-03-18,USS0010E03S,-197.0,-13,-111,0,5080
1996-03-19,USS0010E03S,-252.0,41,-96,0,5080
1996-03-20,USS0010E03S,-113.0,78,-12,0,5080
1996-03-21,USS0010E03S,-44.0,55,-1,0,5105
1996-03-22,USS0010E03S,-61.0,78,-3,0,5105
1996-03-23,USS0010E03S,-160.0,-36,-91,25,5105
1996-03-24,USS0010E03S,-255.0,-83,-165,0,5156
1996-03-25,USS0010E03S,-303.0,-22,-156,0,5156
1996-03-26,USS0010E03S,-236.0,-12,-109,0,5156
1996-03-27,USS0010E03S,-147.0,-8,-69,0,5156
1996-03-28,USS0010E03S,-110.0,20,-45,152,5334
1996-03-29,USS0010E03S,-96.0,-29,-66,127,5436
1996-03-30,USS0010E03S,-108.0,-4,-63,102,5486
1996-03-31,USS0010E03S,-107.0,36,-26,0,5486
1996-04-01,USS0010E03S,-54.0,92,13,0,5486
1996-04-02,USS0010E03S,-75.0,34,-18,0,5486
1996-04-03,USS0010E03S,-102.0,41,-31,0,5486
1996-04-04,USS0010E03S,-149.0,10,-58,0,5486
1996-04-05,USS0010E03S,-196.0,73,-50,0,5486
1996-04-06,USS0010E03S,-109.0,96,5,0,5461
1996-04-07,USS0010E03S,-34.0,112,37,0,5334
1996-04-08,USS0010E03S,-60.0,150,36,0,5232
1996-04-09,USS0010E03S,-57.0,165,49,0,5207
1996-04-10,USS0010E03S,-25.0,139,46,25,5207
1996-04-11,USS0010E03S,-51.0,56,-2,0,5207
1996-04-12,USS0010E03S,-63.0,17,-26,102,5283
1996-04-13,USS0010E03S,-117.0,10,-50,0,5283
1996-04-14,USS0010E03S,-144.0,45,-43,25,5283
1996-04-15,USS0010E03S,-113.0,108,-2,0,5232
1996-04-16,USS0010E03S,-67.0,101,16,0,5156
1996-04-17,USS0010E03S,-79.0,21,-21,25,5182
1996-04-18,USS0010E03S,-120.0,14,-46,76,5283
1996-04-19,USS0010E03S,-103.0,13,-50,25,5334
1996-04-20,USS0010E03S,-107.0,-2,-53,25,5334
1996-04-21,USS0010E03S,-104.0,34,-43,0,5359
1996-04-22,USS0010E03S,-81.0,47,-21,0,5359
1996-04-23,USS0010E03S,-14.0,28,11,76,5436
1996-04-24,USS0010E03S,-78.0,36,-7,127,5436
1996-04-25,USS0010E03S,-85.0,48,-13,25,5410
1996-04-26,USS0010E03S,-75.0,63,5,25,5410
1996-04-27,USS0010E03S,-91.0,12,-49,25,5359
1996-04-28,USS0010E03S,-108.0,30,-43,0,5283
1996-04-29,USS0010E03S,-87.0,39,-17,0,5232
1996-04-30,USS0010E03S,-56.0,38,-12,0,5207
1996-05-01,USS0010E03S,-61.0,64,5,25,5207
1996-05-02,USS0010E03S,-86.0,48,-24,51,5131
1996-05-03,USS0010E03S,-99.0,27,-37,0,5131
1996-05-04,USS0010E03S,-65.0,19,-33,76,5182
1996-05-05,USS0010E03S,-81.0,58,-21,0,5156
1996-05-06,USS0010E03S,-57.0,76,5,0,5156
1996-05-07,USS0010E03S,-51.0,75,8,76,5131
1996-05-08,USS0010E03S,-90.0,95,10,0,5029
1996-05-09,USS0010E03S,-81.0,91,13,0,4724
1996-05-10,USS0010E03S,-43.0,89,26,0,4547
1996-05-11,USS0010E03S,-22.0,125,56,0,4343
1996-05-12,USS0010E03S,5.0,141,60,25,4039
1996-05-13,USS0010E03S,-16.0,173,76,0,3810
1996-05-14,USS0010E03S,-3.0,95,36,76,3658
1996-05-15,USS0010E03S,-9.0,58,25,25,3581
1996-05-16,USS0010E03S,6.0,47,26,279,3505
1996-05-17,USS0010E03S,9.0,79,29,51,3327
1996-05-18,USS0010E03S,-13.0,47,4,178,3454
1996-05-19,USS0010E03S,-47.0,48,-4,203,3556
1996-05-20,USS0010E03S,-48.0,70,1,0,3531
1996-05-21,USS0010E03S,-67.0,103,27,0,3404
1996-05-22,USS0010E03S,-19.0,87,32,25,3277
1996-05-23,USS0010E03S,-40.0,14,-11,25,3277
1996-05-24,USS0010E03S,-39.0,78,17,25,3251
1996-05-25,USS0010E03S,-16.0,125,42,0,3048
1996-05-26,USS0010E03S,2.0,66,24,76,3023
1996-05-27,USS0010E03S,-8.0,105,42,0,2819
1996-05-28,USS0010E03S,-4.0,112,38,51,2616
1996-05-29,USS0010E03S,-17.0,99,24,76,2489
1996-05-30,USS0010E03S,-3.0,81,28,51,2286
1996-05-31,USS0010E03S,-24.0,91,25,25,2083
1996-06-01,USS0010E03S,-52.0,123,37,0,1829
1996-06-02,USS0010E03S,-48.0,168,64,0,1524
1996-06-03,USS0010E03S,-21.0,189,74,51,1194
1996-06-04,USS0010E03S,3.0,184,91,0,889
1996-06-05,USS0010E03S,-18.0,148,69,0,660
1996-06-06,USS0010E03S,-39.0,181,72,0,330
1996-06-07,USS0010E03S,-32.0,241,111,0,0
1996-06-08,USS0010E03S,17.0,242,118,0,0
1996-06-09,USS0010E03S,12.0,242,129,0,0
1996-06-10,USS0010E03S,1.0,217,119,0,0
1996-06-11,USS0010E03S,-7.0,210,114,0,0
1996-06-12,USS0010E03S,5.0,221,118,0,0
1996-06-13,USS0010E03S,5.0,233,126,0,0
1996-06-14,USS0010E03S,32.0,219,121,0,0
1996-06-15,USS0010E03S,24.0,222,118,51,0
1996-06-16,USS0010E03S,31.0,245,123,0,0
1996-06-17,USS0010E03S,28.0,218,134,0,0
1996-06-18,USS0010E03S,5.0,133,77,0,0
1996-06-19,USS0010E03S,-45.0,137,48,0,0
1996-06-20,USS0010E03S,-23.0,208,74,0,0
1996-06-21,USS0010E03S,-19.0,205,86,0,0
1996-06-22,USS0010E03S,19.0,137,64,25,0
1996-06-23,USS0010E03S,19.0,151,83,0,0
1996-06-24,USS0010E03S,29.0,202,123,0,0
1996-06-25,USS0010E03S,14.0,217,122,0,0
1996-06-26,USS0010E03S,17.0,227,123,0,0
1996-06-27,USS0010E03S,34.0,165,88,0,0
1996-06-28,USS0010E03S,27.0,129,67,0,0
1996-06-29,USS0010E03S,5.0,185,91,0,0
1996-06-30,USS0010E03S,-22.0,224,111,0,0
1996-07-01,USS0010E03S,12.0,249,143,0,0
1996-07-02,USS0010E03S,33.0,270,156,0,0
1996-07-03,USS0010E03S,47.0,270,167,0,0
1996-07-04,USS0010E03S,76.0,266,166,0,0
1996-07-05,USS0010E03S,45.0,226,140,0,0
1996-07-06,USS0010E03S,7.0,214,115,0,0
1996-07-07,USS0010E03S,-5.0,242,129,0,0
1996-07-08,USS0010E03S,12.0,255,138,0,0
1996-07-09,USS0010E03S,53.0,244,129,0,0
1996-07-10,USS0010E03S,29.0,237,136,25,0
1996-07-11,USS0010E03S,20.0,238,128,0,0
1996-07-12,USS0010E03S,6.0,242,131,0,0
1996-07-13,USS0010E03S,26.0,229,128,0,0
1996-07-14,USS0010E03S,-4.0,261,140,0,0
1996-07-15,USS0010E03S,31.0,249,137,0,0
1996-07-16,USS0010E03S,55.0,187,102,0,0
1996-07-17,USS0010E03S,38.0,204,111,0,0
1996-07-18,USS0010E03S,23.0,226,123,0,0
1996-07-19,USS0010E03S,11.0,227,126,0,0
1996-07-20,USS0010E03S,-14.0,197,102,0,0
1996-07-21,USS0010E03S,-12.0,223,113,0,0
1996-07-22,USS0010E03S,4.0,249,133,0,0
1996-07-23,USS0010E03S,14.0,251,135,25,0
1996-07-24,USS0010E03S,11.0,265,136,0,0
1996-07-25,USS0010E03S,21.0,259,144,0,0
1996-07-26,USS0010E03S,15.0,260,136,0,0
1996-07-27,USS0010E03S,30.0,267,146,0,0
1996-07-28,USS0010E03S,40.0,267,141,0,0
1996-07-29,USS0010E03S,40.0,222,114,25,0
1996-07-30,USS0010E03S,87.0,216,138,127,0
1996-07-31,USS0010E03S,35.0,230,128,0,0
1996-08-01,USS0010E03S,29.0,254,130,0,0
1996-08-02,USS0010E03S,36.0,230,135,25,0
1996-08-03,USS0010E03S,-21.0,162,73,0,0
1996-08-04,USS0010E03S,-28.0,140,65,0,0
1996-08-05,USS0010E03S,-15.0,178,96,76,0
1996-08-06,USS0010E03S,-10.0,147,55,0,0
1996-08-07,USS0010E03S,-33.0,227,93,0,0
1996-08-08,USS0010E03S,-16.0,272,121,0,0
1996-08-09,USS0010E03S,9.0,270,134,0,0
1996-08-10,USS0010E03S,-4.0,273,139,0,0
1996-08-11,USS0010E03S,12.0,287,151,0,0
1996-08-12,USS0010E03S,33.0,269,156,0,0
1996-08-13,USS0010E03S,51.0,248,139,0,0
1996-08-14,USS0010E03S,24.0,212,115,0,0
1996-08-15,USS0010E03S,40.0,224,116,76,0
1996-08-16,USS0010E03S,17.0,259,133,0,0
1996-08-17,USS0010E03S,35.0,239,134,0,0
1996-08-18,USS0010E03S,-18.0,194,98,0,0
1996-08-19,USS0010E03S,-51.0,214,82,25,0
1996-08-20,USS0010E03S,100.0,226,74,0,0
1996-08-21,USS0010E03S,5.0,188,96,0,0
1996-08-22,USS0010E03S,-23.0,217,101,0,0
1996-08-23,USS0010E03S,-8.0,247,125,0,0
1996-08-24,USS0010E03S,0.0,260,140,0,0
1996-08-25,USS0010E03S,29.0,249,132,0,0
1996-08-26,USS0010E03S,59.0,258,177,0,0
1996-08-27,USS0010E03S,52.0,243,138,0,0
1996-08-28,USS0010E03S,50.0,198,117,0,0
1996-08-29,USS0010E03S,11.0,192,101,0,0
1996-08-30,USS0010E03S,5.0,230,121,0,0
1996-08-31,USS0010E03S,21.0,238,131,0,0
1996-09-01,USS0010E03S,4.0,191,95,0,0
1996-09-02,USS0010E03S,-20.0,189,86,25,0
1996-09-03,USS0010E03S,-18.0,210,97,0,0
1996-09-04,USS0010E03S,0.0,233,121,0,0
1996-09-05,USS0010E03S,-7.0,117,68,25,0
1996-09-06,USS0010E03S,-54.0,144,40,0,0
1996-09-07,USS0010E03S,-25.0,165,79,0,0
1996-09-08,USS0010E03S,-11.0,190,91,0,0
1996-09-09,USS0010E03S,-15.0,212,97,0,0
1996-09-10,USS0010E03S,-11.0,232,114,0,0
1996-09-11,USS0010E03S,25.0,229,110,0,0
1996-09-12,USS0010E03S,53.0,195,117,25,0
1996-09-13,USS0010E03S,31.0,163,96,0,0
1996-09-14,USS0010E03S,1.0,122,61,0,0
1996-09-15,USS0010E03S,-15.0,150,66,0,0
1996-09-16,USS0010E03S,2.0,59,22,51,0
1996-09-17,USS0010E03S,-28.0,53,8,51,0
1996-09-18,USS0010E03S,-42.0,71,8,0,0
1996-09-19,USS0010E03S,-5.0,55,21,51,25
1996-09-20,USS0010E03S,-8.0,92,44,0,0
1996-09-21,USS0010E03S,33.0,113,66,0,0
1996-09-22,USS0010E03S,-29.0,84,25,0,0
1996-09-23,USS0010E03S,-82.0,104,15,0,0
1996-09-24,USS0010E03S,-45.0,99,33,51,25
1996-09-25,USS0010E03S,-60.0,31,-6,102,0
1996-09-26,USS0010E03S,-106.0,9,-41,76,0
1996-09-27,USS0010E03S,-103.0,72,-10,0,0
1996-09-28,USS0010E03S,-39.0,149,46,0,0
1996-09-29,USS0010E03S,,172,67,0,0
1996-09-30,USS0010E03S,-24.0,179,78,0,0
1996-10-01,USS0010E03S,-9.0,167,77,0,0
1996-10-02,USS0010E03S,-31.0,184,64,0,0
1996-10-03,USS0010E03S,-29.0,180,76,0,0
1996-10-04,USS0010E03S,-27.0,184,66,0,0
1996-10-05,USS0010E03S,-17.0,180,80,0,0
1996-10-06,USS0010E03S,-8.0,153,78,0,0
1996-10-07,USS0010E03S,-29.0,168,68,0,0
1996-10-08,USS0010E03S,-18.0,184,70,0,0
1996-10-09,USS0010E03S,-31.0,191,67,0,0
1996-10-10,USS0010E03S,-25.0,209,78,0,0
1996-10-11,USS0010E03S,-6.0,177,81,0,0
1996-10-12,USS0010E03S,-22.0,165,65,0,0
1996-10-13,USS0010E03S,-21.0,173,74,0,0
1996-10-14,USS0010E03S,-38.0,59,13,152,0
1996-10-15,USS0010E03S,-29.0,49,11,102,102
1996-10-16,USS0010E03S,-107.0,10,-46,25,102
1996-10-17,USS0010E03S,-180.0,-3,-83,25,102
1996-10-18,USS0010E03S,-97.0,37,-18,0,152
1996-10-19,USS0010E03S,-74.0,8,-28,25,152
1996-10-20,USS0010E03S,-119.0,-20,-74,0,152
1996-10-21,USS0010E03S,-177.0,-17,-72,25,178
1996-10-22,USS0010E03S,-69.0,5,-32,0,178
1996-10-23,USS0010E03S,-58.0,12,-23,0,203
1996-10-24,USS0010E03S,-31.0,12,-12,102,305
1996-10-25,USS0010E03S,-56.0,5,-23,102,356
1996-10-26,USS0010E03S,-164.0,-35,-77,0,356
1996-10-27,USS0010E03S,-206.0,22,-91,0,381
1996-10-28,USS0010E03S,-142.0,69,-45,0,406
1996-10-29,USS0010E03S,-83.0,8,-26,0,457
1996-10-30,USS0010E03S,-121.0,11,-40,51,457
1996-10-31,USS0010E03S,-195.0,21,-85,0,457
1996-11-01,USS0010E03S,-172.0,46,-67,0,457
1996-11-02,USS0010E03S,-154.0,53,-57,0,457
1996-11-03,USS0010E03S,-151.0,70,-45,0,483
1996-11-04,USS0010E03S,-59.0,30,-13,0,483
1996-11-05,USS0010E03S,-196.0,-27,-87,0,483
1996-11-06,USS0010E03S,-209.0,-45,-93,51,533
1996-11-07,USS0010E03S,-94.0,-21,-56,25,533
1996-11-08,USS0010E03S,-37.0,32,-9,0,533
1996-11-09,USS0010E03S,-92.0,64,-23,0,533
1996-11-10,USS0010E03S,-93.0,84,-27,0,533
1996-11-11,USS0010E03S,-110.0,74,-27,0,559
1996-11-12,USS0010E03S,-94.0,94,-12,0,559
1996-11-13,USS0010E03S,-82.0,83,-1,0,610
1996-11-14,USS0010E03S,-77.0,10,-28,330,737
1996-11-15,USS0010E03S,-131.0,-24,-71,0,737
1996-11-16,USS0010E03S,-147.0,-31,-95,25,737
1996-11-17,USS0010E03S,-100.0,-36,-56,25,813
1996-11-18,USS0010E03S,-46.0,27,-5,178,940
1996-11-19,USS0010E03S,12.0,31,19,381,1143
1996-11-20,USS0010E03S,-9.0,20,6,25,1143
1996-11-21,USS0010E03S,-19.0,31,5,25,1143
1996-11-22,USS0010E03S,-19.0,24,1,127,1295
1996-11-23,USS0010E03S,-110.0,2,-48,0,1295
1996-11-24,USS0010E03S,-83.0,-16,-41,76,1321
1996-11-25,USS0010E03S,-169.0,-6,-60,0,1321
1996-11-26,USS0010E03S,-183.0,-39,-114,0,1321
1996-11-27,USS0010E03S,-116.0,-37,-70,0,1321
1996-11-28,USS0010E03S,-73.0,-11,-49,25,1346
1996-11-29,USS0010E03S,-213.0,-31,-88,0,1346
1996-11-30,USS0010E03S,-244.0,-70,-140,76,1372
1996-12-01,USS0010E03S,-126.0,-40,-67,127,1499
1996-12-02,USS0010E03S,-152.0,-70,-119,0,1499
1996-12-03,USS0010E03S,-144.0,-74,-106,51,1549
1996-12-04,USS0010E03S,-215.0,-95,-152,51,1575
1996-12-05,USS0010E03S,-115.0,-32,-82,0,1651
1996-12-06,USS0010E03S,-133.0,-47,-88,0,1651
1996-12-07,USS0010E03S,-105.0,-28,-65,51,1702
1996-12-08,USS0010E03S,-28.0,18,3,102,1803
1996-12-09,USS0010E03S,5.0,33,15,102,1905
1996-12-10,USS0010E03S,-7.0,19,5,102,2032
1996-12-11,USS0010E03S,-90.0,-8,-52,51,2083
1996-12-12,USS0010E03S,-73.0,-10,-45,0,2083
1996-12-13,USS0010E03S,-89.0,-20,-55,102,2184
1996-12-14,USS0010E03S,-166.0,-65,-108,0,2184
1996-12-15,USS0010E03S,-181.0,-96,-124,76,2235
1996-12-16,USS0010E03S,-218.0,-95,-149,25,2235
1996-12-17,USS0010E03S,-281.0,-167,-207,25,2235
1996-12-18,USS0010E03S,-231.0,-113,-163,25,2286
1996-12-19,USS0010E03S,-163.0,-84,-121,25,2311
1996-12-20,USS0010E03S,-100.0,-58,-79,152,2438
1996-12-21,USS0010E03S,-84.0,-46,-73,25,2489
1996-12-22,USS0010E03S,-124.0,-44,-86,102,2540
1996-12-23,USS0010E03S,-121.0,-58,-93,25,2591
1996-12-24,USS0010E03S,-95.0,-47,-68,102,2743
1996-12-25,USS0010E03S,-234.0,-41,-104,102,2819
1996-12-26,USS0010E03S,-215.0,-6,-63,229,3099
1996-12-27,USS0010E03S,-33.0,-4,-21,152,3277
1996-12-28,USS0010E03S,-52.0,-20,-33,102,3353
1996-12-29,USS0010E03S,-21.0,20,0,178,3531
1996-12-30,USS0010E03S,-16.0,18,0,0,3581
1996-12-31,USS0010E03S,-12.0,23,12,51,3658
1997-01-01,USS0010E03S,12.0,27,22,102,3734
1997-01-02,USS0010E03S,-6.0,25,8,51,3810
1997-01-03,USS0010E03S,-101.0,3,-26,0,3962
1997-01-04,USS0010E03S,-217.0,-73,-146,25,3962
1997-01-05,USS0010E03S,-271.0,-91,-181,76,3962
1997-01-06,USS0010E03S,-323.0,-118,-204,25,3988
1997-01-07,USS0010E03S,-166.0,-76,-113,0,4013
1997-01-08,USS0010E03S,-149.0,-49,-86,0,4039
1997-01-09,USS0010E03S,-73.0,-35,-55,0,4115
1997-01-10,USS0010E03S,-76.0,-10,-38,0,4115
1997-01-11,USS0010E03S,-278.0,-80,-184,0,4115
1997-01-12,USS0010E03S,-314.0,-175,-255,0,4115
1997-01-13,USS0010E03S,-298.0,-101,-187,0,4140
1997-01-14,USS0010E03S,-188.0,-12,-112,0,4140
1997-01-15,USS0010E03S,-145.0,-75,-115,0,4140
1997-01-16,USS0010E03S,-214.0,-66,-150,0,4140
1997-01-17,USS0010E03S,-254.0,-62,-139,0,4140
1997-01-18,USS0010E03S,-61.0,-8,-29,0,4140
